2,8,5,a,6,1,h,3,g,d,4,c,i,f,b,7
2,8,5,a,6,1,h,3,4,c,g,d,b,7,i,f
2,8,5,a,6,1,h,3,d,g,c,4,f,i,7,b
2,8,5,a,6,1,h,3,c,4,d,g,7,b,f,i
2,8,5,a,h,3,6,1,g,d,4,c,b,7,i,f
2,8,5,a,h,3,6,1,4,c,g,d,i,f,b,7
2,8,5,a,h,3,6,1,d,g,c,4,7,b,f,i
2,8,5,a,h,3,6,1,c,4,d,g,f,i,7,b
2,8,5,a,1,6,3,h,g,d,4,c,f,i,7,b
2,8,5,a,1,6,3,h,4,c,g,d,7,b,f,i
2,8,5,a,1,6,3,h,d,g,c,4,i,f,b,7
2,8,5,a,1,6,3,h,c,4,d,g,b,7,i,f
2,8,5,a,3,h,1,6,g,d,4,c,7,b,f,i
2,8,5,a,3,h,1,6,4,c,g,d,f,i,7,b
2,8,5,a,3,h,1,6,d,g,c,4,b,7,i,f
2,8,5,a,3,h,1,6,c,4,d,g,i,f,b,7
